"REF_DATE","GEO","DGUID","Statistic","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2016A000011124","Average expenditure per household","Rented living quarters","Dollars","81","units","0","v54325515","1.1.8","3224","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Rented living quarters","Dollars","81","units","0","v54325515","1.1.8","3521","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Rented living quarters","Dollars","81","units","0","v54325515","1.1.8","3234","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Rented living quarters","Dollars","81","units","0","v54325515","1.1.8","3589","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Rented living quarters","Dollars","81","units","0","v54325515","1.1.8","3790","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Rented living quarters","Dollars","81","units","0","v54325515","1.1.8","3868","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Rented living quarters","Dollars","81","units","0","v54325515","1.1.8","4038","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Rented living quarters","Dollars","81","units","0","v54325515","1.1.8","4160","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Owned living quarters","Dollars","81","units","0","v54325516","1.1.9","8259","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Owned living quarters","Dollars","81","units","0","v54325516","1.1.9","8434","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Owned living quarters","Dollars","81","units","0","v54325516","1.1.9","8536","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Owned living quarters","Dollars","81","units","0","v54325516","1.1.9","9278","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Owned living quarters","Dollars","81","units","0","v54325516","1.1.9","9332","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Owned living quarters","Dollars","81","units","0","v54325516","1.1.9","9534","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Owned living quarters","Dollars","81","units","0","v54325516","1.1.9","9965","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Owned living quarters","Dollars","81","units","0","v54325516","1.1.9","10287","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Owned living quarters","Dollars","81","units","0","v54325516","1.1.9","11676","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54325517","1.1.10","2240","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54325517","1.1.10","2324","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54325517","1.1.10","2307","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54325517","1.1.10","2380","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54325517","1.1.10","2551","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54325517","1.1.10","2478","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54325517","1.1.10","2460","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54325517","1.1.10","2486","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54325517","1.1.10","2535","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Other accommodation","Dollars","81","units","0","v54325518","1.1.11","1433","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Other accommodation","Dollars","81","units","0","v54325518","1.1.11","1234","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Other accommodation","Dollars","81","units","0","v54325518","1.1.11","1444","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Other accommodation","Dollars","81","units","0","v54325518","1.1.11","1470","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Other accommodation","Dollars","81","units","0","v54325518","1.1.11","1689","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Other accommodation","Dollars","81","units","0","v54325518","1.1.11","1707","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Other accommodation","Dollars","81","units","0","v54325518","1.1.11","1739","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Other accommodation","Dollars","81","units","0","v54325518","1.1.11","1829","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Other accommodation","Dollars","81","units","0","v54325518","1.1.11","1829","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Household operations","Dollars","81","units","0","v54325519","1.1.12","3887","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Household operations","Dollars","81","units","0","v54325519","1.1.12","4165","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Household operations","Dollars","81","units","0","v54325519","1.1.12","4122","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Household operations","Dollars","81","units","0","v54325519","1.1.12","4344","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Household operations","Dollars","81","units","0","v54325519","1.1.12","4393","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Household operations","Dollars","81","units","0","v54325519","1.1.12","4490","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Household operations","Dollars","81","units","0","v54325519","1.1.12","4704","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Household operations","Dollars","81","units","0","v54325519","1.1.12","4709","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Household operations","Dollars","81","units","0","v54325519","1.1.12","5448","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Communications","Dollars","81","units","0","v54325520","1.1.13","1742","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Communications","Dollars","81","units","0","v54325520","1.1.13","1824","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Communications","Dollars","81","units","0","v54325520","1.1.13","1851","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Communications","Dollars","81","units","0","v54325520","1.1.13","1997","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Communications","Dollars","81","units","0","v54325520","1.1.13","2096","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Communications","Dollars","81","units","0","v54325520","1.1.13","2187","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Communications","Dollars","81","units","0","v54325520","1.1.13","2246","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Communications","Dollars","81","units","0","v54325520","1.1.13","2404","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Communications","Dollars","81","units","0","v54325520","1.1.13","2670","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Household furnishings and equipment","Dollars","81","units","0","v54325521","1.1.14","1972","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Household furnishings and equipment","Dollars","81","units","0","v54325521","1.1.14","2027","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Household furnishings and equipment","Dollars","81","units","0","v54325521","1.1.14","2165","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Household furnishings and equipment","Dollars","81","units","0","v54325521","1.1.14","1974","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Household furnishings and equipment","Dollars","81","units","0","v54325521","1.1.14","2067","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Household furnishings and equipment","Dollars","81","units","0","v54325521","1.1.14","2166","","","","0"
